dbpedia_5, dbpedia_10, lmdb_5, lmdb_10
.27093333333333336, .4250666666666666, .18666666666666665, .33266666666666667
.2621333333333334, .4208, .18266666666666664, .3326666666666666
.26426666666666665, .42533333333333334, .1873333333333333, .32799999999999996
.26160000000000005, .42693333333333316, .19466666666666665, .33333333333333326
.2639999999999999, .4251999999999999, .19466666666666665, .32366666666666677
.26746666666666663, .4225333333333332, .19333333333333333, .32699999999999996
.2768, .42439999999999994, .18999999999999997, .3293333333333333
.2685333333333333, .42119999999999985, .19533333333333336, .3356666666666668
.2653333333333333, .42280000000000006, .18866666666666668, .3320000000000001
.2661333333333333, .42439999999999983, .19133333333333333, .32699999999999996
